OBJECTID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,POP2000,WHITE,BLACK,AMER_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALE,FEMALE,M_UNDER5,M5_9,M10_14,M15_17,M18_19,M20,M21,M22_24,M25_29,M30_34,M35_39,M40_44,M45_49,M50_54,M55_59,M60_61,M62_64,M65_66,M67_69,M70_74,M75_79,M80_84,M_OVER85,F_UNDER5,F5_9,F10_14,F15_17,F18_19,F20,F21,F22_24,F25_29,F30_34,F35_39,F40_44,F45_49,F50_54,F55_59,F60_61,F62_64,F65_66,F67_69,F70_74,F75_79,F80_84,F_OVER85,HOUSEHOLDS,AV_HH_SIZE,HSEHLD_1M,HSEHLD_1F,AV_FAM_SZ,HSE_UNITS,URBAN,RURAL,VACANT,OWNER_OCC,RENTER_OCC,median_hh_income2014,mean_hh_income2014,pct_income_less_poverty,adr_2005,adr_2006,adr_2007,aevr_2005,aevr_2006,aevr_2007,pm2.5_2005,pm2.5_2006,pm2.5_2007,so2_2005,so2_2006,so2_2007
67,36,69,974133,36069,Ontario                                                                                             ,Ontario County                                                                                      ,100224,95256,2068,223,691,20,703,1263,2149,48983,51241,3116,3703,3942,2265,1389,671,654,1419,2563,3212,4013,4180,3958,3646,2677,843,1197,685,988,1470,1186,710,496,2929,3644,3757,2119,1390,709,639,1427,2555,3313,4308,4301,3976,3691,2729,888,1201,723,1052,1725,1686,1286,1193,38370,3,4007,5459,3,42647,21513,21134,4277,28225,10145,57318,73918,10.4,8.44,5.83,7.41,54.29,48.07,43.81,11.64,9.01,9.39,9.97,8.66,8.92
73,36,71,974134,36071,Orange                                                                                              ,Orange County                                                                                       ,341367,285721,27601,1205,5157,123,13962,7598,39738,170965,170402,13439,14886,14796,8256,5554,2684,2483,5913,9505,12054,14887,14979,12580,11145,8043,2504,3170,1861,2668,3691,2899,1661,1307,12531,13860,13803,7585,4159,2005,1815,5038,9423,12437,14829,14404,12597,10899,8057,2491,3371,2109,2948,4979,4415,3319,3328,114788,3,10507,14117,3,122754,92835,29919,7966,76959,37829,70794,88441,12.6,15.55,15.7,13.54,64.58,72.01,68.04,12.42,10.47,10.96,11.23,8.73,9.74
39,36,73,974135,36073,Orleans                                                                                             ,Orleans County                                                                                      ,44171,39367,3230,203,142,12,682,535,1719,21891,22280,1456,1679,1766,1088,666,256,230,742,1372,1610,1984,1909,1561,1390,1052,349,473,316,410,562,500,327,193,1291,1496,1744,1039,561,246,217,700,1289,1717,2000,1955,1532,1383,1073,372,501,317,425,716,671,521,514,15363,3,1638,2009,3,17347,7117,10230,1984,11621,3742,48015,57666,15.5,8.74,9.21,9,40.25,43.76,33.22,12.82,10.02,10.29,11.68,9.67,10.25
23,36,75,974136,36075,Oswego                                                                                              ,Oswego County                                                                                       ,122377,118918,717,498,508,17,582,1137,1592,60402,61975,3864,4844,5122,3053,2063,1093,1096,2373,3310,4077,5118,5097,4435,3936,2898,948,1289,828,1099,1550,1189,710,410,3721,4581,4809,2754,2192,1166,1134,2243,3420,4261,5157,4942,4356,3819,3063,966,1302,783,1168,1944,1768,1275,1151,45522,3,4995,6068,3,52831,18465,34366,7309,33122,12400,47646,60820,18.5,8.89,8.25,7.2,36.2,39.07,35.1,11.07,8.25,9.09,5.89,5.08,5.62
75,36,77,974137,36077,Otsego                                                                                              ,Otsego County                                                                                       ,61676,59083,1079,141,390,31,306,646,1171,29737,31939,1502,1986,2196,1456,1425,694,729,1354,1428,1707,1920,2205,2181,2077,1649,527,773,425,696,1048,864,536,359,1443,1839,2163,1390,1747,987,766,1198,1469,1695,2180,2372,2306,2009,1744,561,719,479,731,1275,1146,856,864,23291,2,2655,3622,3,28481,5753,22728,5190,17010,6281,47884,61290,16.4,11.42,11.58,10.97,28.7,31.57,31.31,11,8.57,9.28,7.37,5.92,4.08
11,36,79,974138,36079,Putnam                                                                                              ,Putnam County                                                                                       ,95745,89876,1562,137,1190,24,1596,1360,5976,47748,47997,3338,3831,3772,2100,1016,499,462,1375,2414,3484,4587,4710,4130,3550,2629,879,1020,570,793,1093,749,437,310,3283,3641,3503,1906,791,349,354,1158,2367,3649,4931,4591,4157,3530,2683,814,1095,580,881,1269,992,733,740,32703,3,2625,3282,3,35030,26072,8958,2327,26885,5818,96262,116931,5.6,8.84,7.45,8.35,32.44,21.17,25.94,12.24,10.01,10.84,10.79,7.09,9.52
19,36,81,974139,36081,Queens                                                                                              ,Queens County                                                                                       ,2229379,982725,446189,11077,391500,1331,260387,136170,556605,1073568,1155811,73081,74303,70583,42551,28635,14913,15062,49970,92634,95355,94666,86157,72918,63371,48102,17588,23541,14095,19136,28964,23031,14283,10629,69635,71043,68060,39968,26538,14248,14448,49984,92251,94940,94293,88343,78599,72613,57553,21420,28971,17627,25522,42128,36759,25533,25335,782664,3,80461,119550,3,817250,817250,0,34586,334815,447849,57210,74140,15.3,20.95,21.32,20.67,72.92,81.13,73.35,13.04,11.81,11.67,15.18,12.78,12.83
14,36,83,974140,36083,Rensselaer                                                                                          ,Rensselaer County                                                                                   ,152538,139002,7147,347,2606,31,1360,2045,3225,74691,77847,4662,5282,5646,3209,3134,1415,1222,2790,4501,5187,5891,6138,5705,5119,3630,1155,1597,980,1510,2278,1816,1110,714,4610,5078,5374,3111,2157,1098,978,2654,4721,5300,6322,6356,5627,5205,3895,1301,1786,1141,1780,2896,2595,1959,1903,59894,2,7303,9436,3,66120,45963,20157,6226,38872,21022,60140,74105,13,16.21,15.89,13.21,55.22,59.82,58.71,11.63,8.91,9.66,6.32,4.9,4.67
48,36,85,974141,36085,Richmond                                                                                            ,Richmond County                                                                                     ,443728,344319,42914,1107,25071,182,18355,11780,53550,214485,229243,15329,16923,16474,9580,5612,2735,2699,8187,14544,16680,17996,17836,15575,14548,11154,3629,4626,2707,3972,5624,4004,2384,1667,14454,16044,15729,8725,5357,2648,2534,8160,14837,17456,18982,18860,16871,16239,12272,3863,5137,3195,4644,7664,6393,4690,4489,156341,3,15116,21216,3,163993,163993,0,7652,99695,56646,74043,90681,12.3,16.67,16.98,16.82,70.52,72.36,66.42,13.37,11.37,11.93,14.58,12.68,13.4
43,36,87,974142,36087,Rockland                                                                                            ,Rockland County                                                                                     ,286753,220538,31472,676,15826,205,10838,7198,29182,139901,146852,11144,11781,11808,6646,3717,1688,1563,4920,7853,9383,11178,10979,9914,9623,7646,2525,3557,2034,2880,3985,2627,1407,1043,10663,11059,10957,6228,3336,1491,1400,4561,7731,10016,11608,11479,10583,10745,8535,2772,3811,2296,3298,4799,3700,2650,3134,92675,3,6747,11096,3,94973,94083,890,2298,66424,26251,85808,109174,14.1,9.21,11.69,9.12,37.69,36.17,34.01,13.29,11.35,12.03,12.23,10.16,11.37
